,mp_name,p_name
38133,Chlordane (alpha+gamma),
38134,Chlordane (alpha+gamma),
38135,Chlordane (alpha+gamma),
38136,Chlordane (alpha+gamma),
38137,Chlordane (alpha+gamma),
38138,p-p'-DDD,
38139,p-p'-DDD,
38140,p-p'-DDD,
38141,p-p'-DDD,
38142,p-p'-DDD,
38143,p-p'-DDD,
38144,p-p'-DDD,
38145,p-p'-DDD,
38146,p-p'-DDD,
38147,p-p'-DDD,
38148,p-p'-DDD,
38149,p-p'-DDD,
38150,p-p'-DDE,
38151,p-p'-DDE,
38152,p-p'-DDE,
38153,p-p'-DDE,
38154,p-p'-DDE,
38155,p-p'-DDE,
38156,p-p'-DDE,
38157,p-p'-DDE,
38158,p-p'-DDE,
38159,p-p'-DDE,
38160,p-p'-DDE,
38161,p-p'-DDE,
38162,p-p'-DDT,
38163,p-p'-DDT,
38164,p-p'-DDT,
38165,p-p'-DDT,
38166,p-p'-DDT,
38167,p-p'-DDT,
38168,p-p'-DDT,
38169,p-p'-DDT,
38170,p-p'-DDT,
38171,p-p'-DDT,
38172,p-p'-DDT,
38173,p-p'-DDT,
38174,Dieldrin,
38175,Dieldrin,
38176,Dieldrin,
38177,Dieldrin,
38178,Dieldrin,
38179,Dieldrin,
38180,Dieldrin,
38181,Dieldrin,
38182,Dieldrin,
38183,Dieldrin,
38184,Dieldrin,
38185,Dieldrin,
38186,Hexabromobenzene (HBB),
38187,Hexabromobenzene (HBB),
38188,Hexabromobenzene (HBB),
38189,Hexabromobenzene (HBB),
38190,Hexabromobenzene (HBB),
38191,Hexabromobenzene (HBB),
38192,Hexabromobenzene (HBB),
38193,Hexabromobenzene (HBB),
38194,Hexabromobenzene (HBB),
38195,Hexabromobenzene (HBB),
38196,Hexabromobenzene (HBB),
38197,Hexabromobenzene (HBB),
38198,Heptachlor epoxide,
38199,Heptachlor epoxide,
38200,Heptachlor epoxide,
38201,Heptachlor epoxide,
38202,Heptachlor epoxide,
38203,Heptachlor epoxide,
38204,Heptachlor epoxide,
38205,Heptachlor epoxide,
38206,Heptachlor epoxide,
38207,Heptachlor epoxide,
38208,Heptachlor epoxide,
38209,Heptachlor epoxide,
38210,Mirex,
38211,Mirex,
38212,Mirex,
38213,Mirex,
38214,Mirex,
38215,Mirex,
38216,Mirex,
38217,Mirex,
38218,Mirex,
38219,Mirex,
38220,Mirex,
38221,Mirex,
38222,PCBs (as Arochlor 1254) Total,
38223,PCBs (as Arochlor 1254) Total,
38224,PCBs (as Arochlor 1254) Total,
38225,PCBs (as Arochlor 1254) Total,
38226,PCBs (as Arochlor 1254) Total,
38227,PCBs (as Arochlor 1254) Total,
38228,PCBs (as Arochlor 1254) Total,
38229,PCBs (as Arochlor 1254) Total,
38230,PCBs (as Arochlor 1254) Total,
38231,PCBs (as Arochlor 1254) Total,
38232,PCBs (as Arochlor 1254) Total,
38233,PCBs (as Arochlor 1254) Total,
38234,Chlordane (alpha+gamma),
38235,Chlordane (alpha+gamma),
38236,Chlordane (alpha+gamma),
38237,Chlordane (alpha+gamma),
38238,Chlordane (alpha+gamma),
38239,Chlordane (alpha+gamma),
38240,Chlordane (alpha+gamma),
38241,Chlordane (alpha+gamma),
38242,Chlordane (alpha+gamma),
38243,Chlordane (alpha+gamma),
38244,p-p'-DDD,
38245,p-p'-DDD,
38246,p-p'-DDD,
38247,p-p'-DDD,
38248,p-p'-DDD,
38249,p-p'-DDD,
38250,p-p'-DDD,
38251,p-p'-DDD,
38252,p-p'-DDD,
38253,p-p'-DDD,
38254,p-p'-DDE,
38255,p-p'-DDE,
38256,p-p'-DDE,
38257,p-p'-DDE,
38258,p-p'-DDE,
38259,p-p'-DDE,
38260,p-p'-DDE,
38261,p-p'-DDE,
38262,p-p'-DDE,
38263,p-p'-DDE,
38264,p-p'-DDT,
38265,p-p'-DDT,
38266,p-p'-DDT,
38267,p-p'-DDT,
38268,p-p'-DDT,
38269,p-p'-DDT,
38270,p-p'-DDT,
38271,p-p'-DDT,
38272,p-p'-DDT,
38273,p-p'-DDT,
38274,Dieldrin,
38275,Dieldrin,
38276,Dieldrin,
38277,Dieldrin,
38278,Dieldrin,
38279,Dieldrin,
38280,Dieldrin,
38281,Dieldrin,
38282,Dieldrin,
38283,Dieldrin,
38284,Hexabromobenzene (HBB),
38285,Hexabromobenzene (HBB),
38286,Hexabromobenzene (HBB),
38287,Hexabromobenzene (HBB),
38288,Hexabromobenzene (HBB),
38289,Hexabromobenzene (HBB),
38290,Hexabromobenzene (HBB),
38291,Hexabromobenzene (HBB),
38292,Hexabromobenzene (HBB),
38293,Hexabromobenzene (HBB),
38294,Heptachlor epoxide,
38295,Heptachlor epoxide,
38296,Heptachlor epoxide,
38297,Heptachlor epoxide,
38298,Heptachlor epoxide,
38299,Heptachlor epoxide,
38300,Heptachlor epoxide,
38301,Heptachlor epoxide,
38302,Heptachlor epoxide,
38303,Heptachlor epoxide,
38304,Mirex,
38305,Mirex,
38306,Mirex,
38307,Mirex,
38308,Mirex,
38309,Mirex,
38310,Mirex,
38311,Mirex,
38312,Mirex,
38313,Mirex,
38314,PCBs (as Arochlor 1254) Total,
38315,PCBs (as Arochlor 1254) Total,
38316,PCBs (as Arochlor 1254) Total,
38317,PCBs (as Arochlor 1254) Total,
38318,PCBs (as Arochlor 1254) Total,
38319,PCBs (as Arochlor 1254) Total,
38320,PCBs (as Arochlor 1254) Total,
38321,PCBs (as Arochlor 1254) Total,
38322,PCBs (as Arochlor 1254) Total,
38323,PCBs (as Arochlor 1254) Total,
38324,Chlordane (alpha+gamma),
38325,Chlordane (alpha+gamma),
38326,Chlordane (alpha+gamma),
38327,Chlordane (alpha+gamma),
38328,Chlordane (alpha+gamma),
38329,Chlordane (alpha+gamma),
38330,Chlordane (alpha+gamma),
38331,Chlordane (alpha+gamma),
38332,Chlordane (alpha+gamma),
38333,Chlordane (alpha+gamma),
38334,Chlordane (alpha+gamma),
38335,Chlordane (alpha+gamma),
38336,Chlordane (alpha+gamma),
38337,p-p'-DDD,
38338,p-p'-DDD,
38339,p-p'-DDD,
38340,p-p'-DDD,
38341,p-p'-DDD,
38342,p-p'-DDD,
38343,p-p'-DDD,
38344,p-p'-DDD,
38345,p-p'-DDD,
38346,p-p'-DDD,
38347,p-p'-DDD,
38348,p-p'-DDD,
38349,p-p'-DDD,
38350,p-p'-DDE,
38351,p-p'-DDE,
38352,p-p'-DDE,
38353,p-p'-DDE,
38354,p-p'-DDE,
38355,p-p'-DDE,
38356,p-p'-DDE,
38357,p-p'-DDE,
38358,p-p'-DDE,
38359,p-p'-DDE,
38360,p-p'-DDE,
38361,p-p'-DDE,
38362,p-p'-DDE,
38363,p-p'-DDT,
38364,p-p'-DDT,
38365,p-p'-DDT,
38366,p-p'-DDT,
38367,p-p'-DDT,
38368,p-p'-DDT,
38369,p-p'-DDT,
38370,p-p'-DDT,
38371,p-p'-DDT,
38372,p-p'-DDT,
38373,p-p'-DDT,
38374,p-p'-DDT,
38375,p-p'-DDT,
38376,Dieldrin,
38377,Dieldrin,
38378,Dieldrin,
38379,Dieldrin,
38380,Dieldrin,
38381,Dieldrin,
38382,Dieldrin,
38383,Dieldrin,
38384,Dieldrin,
38385,Dieldrin,
38386,Dieldrin,
38387,Dieldrin,
38388,Dieldrin,
38389,Hexabromobenzene (HBB),
38390,Hexabromobenzene (HBB),
38391,Hexabromobenzene (HBB),
38392,Hexabromobenzene (HBB),
38393,Hexabromobenzene (HBB),
38394,Hexabromobenzene (HBB),
38395,Hexabromobenzene (HBB),
38396,Hexabromobenzene (HBB),
38397,Hexabromobenzene (HBB),
38398,Hexabromobenzene (HBB),
38399,Hexabromobenzene (HBB),
38400,Hexabromobenzene (HBB),
38401,Hexabromobenzene (HBB),
38402,Heptachlor epoxide,
38403,Heptachlor epoxide,
38404,Heptachlor epoxide,
38405,Heptachlor epoxide,
38406,Heptachlor epoxide,
38407,Heptachlor epoxide,
38408,Heptachlor epoxide,
38409,Heptachlor epoxide,
38410,Heptachlor epoxide,
38411,Heptachlor epoxide,
38412,Heptachlor epoxide,
38413,Heptachlor epoxide,
38414,Heptachlor epoxide,
38415,Mirex,
38416,Mirex,
38417,Mirex,
38418,Mirex,
38419,Mirex,
38420,Mirex,
38421,Mirex,
38422,Mirex,
38423,Mirex,
38424,Mirex,
38425,Mirex,
38426,Mirex,
38427,Mirex,
38428,PCBs (as Arochlor 1254) Total,
38429,PCBs (as Arochlor 1254) Total,
38430,PCBs (as Arochlor 1254) Total,
38431,PCBs (as Arochlor 1254) Total,
38432,PCBs (as Arochlor 1254) Total,
38433,PCBs (as Arochlor 1254) Total,
38434,PCBs (as Arochlor 1254) Total,
38435,PCBs (as Arochlor 1254) Total,
38436,PCBs (as Arochlor 1254) Total,
38437,PCBs (as Arochlor 1254) Total,
38438,PCBs (as Arochlor 1254) Total,
38439,PCBs (as Arochlor 1254) Total,
38440,PCBs (as Arochlor 1254) Total,
38441,Chlordane (alpha+gamma),
38442,p-p'-DDD,
38443,p-p'-DDE,
38444,p-p'-DDT,
38445,Dieldrin,
38446,Hexabromobenzene (HBB),
38447,Heptachlor epoxide,
38448,Mirex,
38449,PCBs (as Arochlor 1254) Total,
38450,Chlordane (alpha+gamma),
38451,Chlordane (alpha+gamma),
38452,Chlordane (alpha+gamma),
38453,Chlordane (alpha+gamma),
38454,Chlordane (alpha+gamma),
38455,Chlordane (alpha+gamma),
38456,Chlordane (alpha+gamma),
38457,Chlordane (alpha+gamma),
38458,Chlordane (alpha+gamma),
38459,Chlordane (alpha+gamma),
38460,Chlordane (alpha+gamma),
38461,Chlordane (alpha+gamma),
38462,p-p'-DDE,
38463,p-p'-DDE,
38464,p-p'-DDE,
38465,p-p'-DDE,
38466,p-p'-DDE,
38467,p-p'-DDE,
38468,p-p'-DDE,
38469,p-p'-DDE,
38470,p-p'-DDE,
38471,p-p'-DDE,
38472,p-p'-DDE,
38473,p-p'-DDE,
38474,p-p'-DDT,
38475,p-p'-DDT,
38476,p-p'-DDT,
38477,p-p'-DDT,
38478,p-p'-DDT,
38479,p-p'-DDT,
38480,p-p'-DDT,
38481,p-p'-DDT,
38482,p-p'-DDT,
38483,p-p'-DDT,
38484,p-p'-DDT,
38485,p-p'-DDT,
38486,Dieldrin,
38487,Dieldrin,
38488,Dieldrin,
38489,Dieldrin,
38490,Dieldrin,
38491,Dieldrin,
38492,Dieldrin,
38493,Dieldrin,
38494,Dieldrin,
38495,Dieldrin,
38496,Dieldrin,
38497,Dieldrin,
38498,Hexabromobenzene (HBB),
38499,Hexabromobenzene (HBB),
38500,Hexabromobenzene (HBB),
38501,Hexabromobenzene (HBB),
38502,Hexabromobenzene (HBB),
38503,Hexabromobenzene (HBB),
38504,Hexabromobenzene (HBB),
38505,Hexabromobenzene (HBB),
38506,Hexabromobenzene (HBB),
38507,Hexabromobenzene (HBB),
38508,Hexabromobenzene (HBB),
38509,Hexabromobenzene (HBB),
38510,Heptachlor epoxide,
38511,Heptachlor epoxide,
38512,Heptachlor epoxide,
38513,Heptachlor epoxide,
38514,Heptachlor epoxide,
38515,Heptachlor epoxide,
38516,Heptachlor epoxide,
38517,Heptachlor epoxide,
38518,Heptachlor epoxide,
38519,Heptachlor epoxide,
38520,Heptachlor epoxide,
38521,Heptachlor epoxide,
38522,Mirex,
38523,Mirex,
38524,Mirex,
38525,Mirex,
38526,Mirex,
38527,Mirex,
38528,Mirex,
38529,Mirex,
38530,Mirex,
38531,Mirex,
38532,Mirex,
38533,Mirex,
38534,PCBs (as Arochlor 1254) Total,
38535,PCBs (as Arochlor 1254) Total,
38536,PCBs (as Arochlor 1254) Total,
38537,PCBs (as Arochlor 1254) Total,
38538,PCBs (as Arochlor 1254) Total,
38539,PCBs (as Arochlor 1254) Total,
38540,PCBs (as Arochlor 1254) Total,
38541,PCBs (as Arochlor 1254) Total,
38542,PCBs (as Arochlor 1254) Total,
38543,PCBs (as Arochlor 1254) Total,
38544,PCBs (as Arochlor 1254) Total,
38545,PCBs (as Arochlor 1254) Total,
38546,Chlordane (alpha+gamma),
38547,Chlordane (alpha+gamma),
38548,Chlordane (alpha+gamma),
38549,Chlordane (alpha+gamma),
38550,Chlordane (alpha+gamma),
38551,Chlordane (alpha+gamma),
38552,Chlordane (alpha+gamma),
38553,Chlordane (alpha+gamma),
38554,Chlordane (alpha+gamma),
38555,Chlordane (alpha+gamma),
38556,Chlordane (alpha+gamma),
38557,p-p'-DDE,
38558,p-p'-DDE,
38559,p-p'-DDE,
38560,p-p'-DDE,
38561,p-p'-DDE,
38562,p-p'-DDE,
38563,p-p'-DDE,
38564,p-p'-DDE,
38565,p-p'-DDE,
38566,p-p'-DDE,
38567,p-p'-DDE,
38568,p-p'-DDT,
38569,p-p'-DDT,
38570,p-p'-DDT,
38571,p-p'-DDT,
38572,p-p'-DDT,
38573,p-p'-DDT,
38574,p-p'-DDT,
38575,p-p'-DDT,
38576,p-p'-DDT,
38577,p-p'-DDT,
38578,p-p'-DDT,
38579,Dieldrin,
38580,Dieldrin,
38581,Dieldrin,
38582,Dieldrin,
38583,Dieldrin,
38584,Dieldrin,
38585,Dieldrin,
38586,Dieldrin,
38587,Dieldrin,
38588,Dieldrin,
38589,Dieldrin,
38590,Hexabromobenzene (HBB),
38591,Hexabromobenzene (HBB),
38592,Hexabromobenzene (HBB),
38593,Hexabromobenzene (HBB),
38594,Hexabromobenzene (HBB),
38595,Hexabromobenzene (HBB),
38596,Hexabromobenzene (HBB),
38597,Hexabromobenzene (HBB),
38598,Hexabromobenzene (HBB),
38599,Hexabromobenzene (HBB),
38600,Hexabromobenzene (HBB),
38601,Heptachlor epoxide,
38602,Heptachlor epoxide,
38603,Heptachlor epoxide,
38604,Heptachlor epoxide,
38605,Heptachlor epoxide,
38606,Heptachlor epoxide,
38607,Heptachlor epoxide,
38608,Heptachlor epoxide,
38609,Heptachlor epoxide,
38610,Heptachlor epoxide,
38611,Heptachlor epoxide,
38612,Mirex,
38613,Mirex,
38614,Mirex,
38615,Mirex,
38616,Mirex,
38617,Mirex,
38618,Mirex,
38619,Mirex,
38620,Mirex,
38621,Mirex,
38622,Mirex,
38623,PCBs (as Arochlor 1254) Total,
38624,PCBs (as Arochlor 1254) Total,
38625,PCBs (as Arochlor 1254) Total,
38626,PCBs (as Arochlor 1254) Total,
38627,PCBs (as Arochlor 1254) Total,
38628,PCBs (as Arochlor 1254) Total,
38629,PCBs (as Arochlor 1254) Total,
38630,PCBs (as Arochlor 1254) Total,
38631,PCBs (as Arochlor 1254) Total,
38632,PCBs (as Arochlor 1254) Total,
38633,PCBs (as Arochlor 1254) Total,
38634,Chlordane (alpha+gamma),
38635,Chlordane (alpha+gamma),
38636,Chlordane (alpha+gamma),
38637,Chlordane (alpha+gamma),
38638,Chlordane (alpha+gamma),
38639,Chlordane (alpha+gamma),
38640,p-p'-DDD,
38641,p-p'-DDD,
38642,p-p'-DDD,
38643,p-p'-DDD,
38644,p-p'-DDD,
38645,p-p'-DDD,
38646,p-p'-DDE,
38647,p-p'-DDE,
38648,p-p'-DDE,
38649,p-p'-DDE,
38650,p-p'-DDE,
38651,p-p'-DDE,
38652,p-p'-DDT,
38653,p-p'-DDT,
38654,p-p'-DDT,
38655,p-p'-DDT,
38656,p-p'-DDT,
38657,p-p'-DDT,
38658,Dieldrin,
38659,Dieldrin,
38660,Dieldrin,
38661,Dieldrin,
38662,Dieldrin,
38663,Dieldrin,
38664,Hexabromobenzene (HBB),
38665,Hexabromobenzene (HBB),
38666,Hexabromobenzene (HBB),
38667,Hexabromobenzene (HBB),
38668,Hexabromobenzene (HBB),
38669,Hexabromobenzene (HBB),
38670,Mirex,
38671,Mirex,
38672,Mirex,
38673,Mirex,
38674,Mirex,
38675,Mirex,
38676,opDDT,
38677,opDDT,
38678,opDDT,
38679,opDDT,
38680,opDDT,
38681,opDDT,
38682,PCBs (as Arochlor 1254) Total,
38683,PCBs (as Arochlor 1254) Total,
38684,PCBs (as Arochlor 1254) Total,
38685,PCBs (as Arochlor 1254) Total,
38686,PCBs (as Arochlor 1254) Total,
38687,PCBs (as Arochlor 1254) Total,
38688,Chlordane (alpha+gamma),
38689,Chlordane (alpha+gamma),
38690,Chlordane (alpha+gamma),
38691,Chlordane (alpha+gamma),
38692,Chlordane (alpha+gamma),
38693,p-p'-DDD,
38694,p-p'-DDD,
38695,p-p'-DDD,
38696,p-p'-DDD,
38697,p-p'-DDD,
38698,p-p'-DDE,
38699,p-p'-DDE,
38700,p-p'-DDE,
38701,p-p'-DDE,
38702,p-p'-DDE,
38703,p-p'-DDT,
38704,p-p'-DDT,
38705,p-p'-DDT,
38706,p-p'-DDT,
38707,p-p'-DDT,
38708,Dieldrin,
38709,Dieldrin,
38710,Dieldrin,
38711,Dieldrin,
38712,Dieldrin,
38713,Hexabromobenzene (HBB),
38714,Hexabromobenzene (HBB),
38715,Hexabromobenzene (HBB),
38716,Hexabromobenzene (HBB),
38717,Hexabromobenzene (HBB),
38718,Mirex,
38719,Mirex,
38720,Mirex,
38721,Mirex,
38722,Mirex,
38723,opDDT,
38724,opDDT,
38725,opDDT,
38726,opDDT,
38727,opDDT,
38728,PCBs (as Arochlor 1254) Total,
38729,PCBs (as Arochlor 1254) Total,
38730,PCBs (as Arochlor 1254) Total,
38731,PCBs (as Arochlor 1254) Total,
38732,PCBs (as Arochlor 1254) Total,
38733,Chlordane (alpha+gamma),
38734,Chlordane (alpha+gamma),
38735,Chlordane (alpha+gamma),
38736,Chlordane (alpha+gamma),
38737,Chlordane (alpha+gamma),
38738,Chlordane (alpha+gamma),
38739,Chlordane (alpha+gamma),
38740,Chlordane (alpha+gamma),
38741,Chlordane (alpha+gamma),
38742,Chlordane (alpha+gamma),
38743,p-p'-DDD,
38744,p-p'-DDD,
38745,p-p'-DDD,
38746,p-p'-DDD,
38747,p-p'-DDD,
38748,p-p'-DDD,
38749,p-p'-DDD,
38750,p-p'-DDD,
38751,p-p'-DDD,
38752,p-p'-DDD,
38753,p-p'-DDE,
38754,p-p'-DDE,
38755,p-p'-DDE,
38756,p-p'-DDE,
38757,p-p'-DDE,
38758,p-p'-DDE,
38759,p-p'-DDE,
38760,p-p'-DDE,
38761,p-p'-DDE,
38762,p-p'-DDE,
38763,p-p'-DDT,
38764,p-p'-DDT,
38765,p-p'-DDT,
38766,p-p'-DDT,
38767,p-p'-DDT,
38768,p-p'-DDT,
38769,p-p'-DDT,
38770,p-p'-DDT,
38771,p-p'-DDT,
38772,p-p'-DDT,
38773,Dieldrin,
38774,Dieldrin,
38775,Dieldrin,
38776,Dieldrin,
38777,Dieldrin,
38778,Dieldrin,
38779,Dieldrin,
38780,Dieldrin,
38781,Dieldrin,
38782,Dieldrin,
38783,Heptachlor epoxide,
38784,Heptachlor epoxide,
38785,Heptachlor epoxide,
38786,Heptachlor epoxide,
38787,Heptachlor epoxide,
38788,Heptachlor epoxide,
38789,Heptachlor epoxide,
38790,Heptachlor epoxide,
38791,Heptachlor epoxide,
38792,Heptachlor epoxide,
38793,Mirex,
38794,Mirex,
38795,Mirex,
38796,Mirex,
38797,Mirex,
38798,Mirex,
38799,Mirex,
38800,Mirex,
38801,Mirex,
38802,Mirex,
38803,opDDT,
38804,opDDT,
38805,opDDT,
38806,opDDT,
38807,opDDT,
38808,opDDT,
38809,opDDT,
38810,opDDT,
38811,opDDT,
38812,opDDT,
38813,PCBs (as Arochlor 1254) Total,
38814,PCBs (as Arochlor 1254) Total,
38815,PCBs (as Arochlor 1254) Total,
38816,PCBs (as Arochlor 1254) Total,
38817,PCBs (as Arochlor 1254) Total,
38818,PCBs (as Arochlor 1254) Total,
38819,PCBs (as Arochlor 1254) Total,
38820,PCBs (as Arochlor 1254) Total,
38821,PCBs (as Arochlor 1254) Total,
38822,PCBs (as Arochlor 1254) Total,
38823,Chlordane (alpha+gamma),
38824,Chlordane (alpha+gamma),
38825,Chlordane (alpha+gamma),
38828,Chlordane (alpha+gamma),
38829,p-p'-DDD,
38830,p-p'-DDD,
38831,p-p'-DDD,
38834,p-p'-DDD,
38835,p-p'-DDE,
38836,p-p'-DDE,
38837,p-p'-DDE,
38840,p-p'-DDE,
38841,p-p'-DDT,
38842,p-p'-DDT,
38843,p-p'-DDT,
38846,p-p'-DDT,
38847,Dieldrin,
38848,Dieldrin,
38849,Dieldrin,
38852,Dieldrin,
38853,Heptachlor epoxide,
38854,Heptachlor epoxide,
38855,Heptachlor epoxide,
38858,Heptachlor epoxide,
38859,Mirex,
38860,Mirex,
38861,Mirex,
38864,Mirex,
38865,opDDT,
38866,opDDT,
38867,opDDT,
38870,opDDT,
38871,PCBs (as Arochlor 1254) Total,
38872,PCBs (as Arochlor 1254) Total,
38873,PCBs (as Arochlor 1254) Total,
38876,PCBs (as Arochlor 1254) Total,
38877,Chlordane (alpha+gamma),
38878,Chlordane (alpha+gamma),
38879,Chlordane (alpha+gamma),
38880,Chlordane (alpha+gamma),
38881,Chlordane (alpha+gamma),
38882,Chlordane (alpha+gamma),
38883,Chlordane (alpha+gamma),
38884,Chlordane (alpha+gamma),
38885,Chlordane (alpha+gamma),
38886,Chlordane (alpha+gamma),
38887,Chlordane (alpha+gamma),
38888,Chlordane (alpha+gamma),
38889,Chlordane (alpha+gamma),
38890,Chlordane (alpha+gamma),
38891,Chlordane (alpha+gamma),
38892,p-p'-DDD,
38893,p-p'-DDD,
38894,p-p'-DDD,
38895,p-p'-DDD,
38896,p-p'-DDD,
38897,p-p'-DDD,
38898,p-p'-DDD,
38899,p-p'-DDD,
38900,p-p'-DDD,
38901,p-p'-DDD,
38902,p-p'-DDD,
38903,p-p'-DDD,
38904,p-p'-DDD,
38905,p-p'-DDD,
38906,p-p'-DDD,
38907,p-p'-DDE,
38908,p-p'-DDE,
38909,p-p'-DDE,
38910,p-p'-DDE,
38911,p-p'-DDE,
38912,p-p'-DDE,
38913,p-p'-DDE,
38914,p-p'-DDE,
38915,p-p'-DDE,
38916,p-p'-DDE,
38917,p-p'-DDE,
38918,p-p'-DDE,
38919,p-p'-DDE,
38920,p-p'-DDE,
38921,p-p'-DDE,
38922,p-p'-DDT,
38923,p-p'-DDT,
38924,p-p'-DDT,
38925,p-p'-DDT,
38926,p-p'-DDT,
38927,p-p'-DDT,
38928,p-p'-DDT,
38929,p-p'-DDT,
38930,p-p'-DDT,
38931,p-p'-DDT,
38932,p-p'-DDT,
38933,p-p'-DDT,
38934,p-p'-DDT,
38935,p-p'-DDT,
38936,p-p'-DDT,
38937,Dieldrin,
38938,Dieldrin,
38939,Dieldrin,
38940,Dieldrin,
38941,Dieldrin,
38942,Dieldrin,
38943,Dieldrin,
38944,Dieldrin,
38945,Dieldrin,
38946,Dieldrin,
38947,Dieldrin,
38948,Dieldrin,
38949,Dieldrin,
38950,Dieldrin,
38951,Dieldrin,
38952,Heptachlor epoxide,
38953,Heptachlor epoxide,
38954,Heptachlor epoxide,
38955,Heptachlor epoxide,
38956,Heptachlor epoxide,
38957,Heptachlor epoxide,
38958,Heptachlor epoxide,
38959,Heptachlor epoxide,
38960,Heptachlor epoxide,
38961,Heptachlor epoxide,
38962,Heptachlor epoxide,
38963,Heptachlor epoxide,
38964,Heptachlor epoxide,
38965,Heptachlor epoxide,
38966,Heptachlor epoxide,
38967,Mirex,
38968,Mirex,
38969,Mirex,
38970,Mirex,
38971,Mirex,
38972,Mirex,
38973,Mirex,
38974,Mirex,
38975,Mirex,
38976,Mirex,
38977,Mirex,
38978,Mirex,
38979,Mirex,
38980,Mirex,
38981,Mirex,
38982,opDDT,
38983,opDDT,
38984,opDDT,
38985,opDDT,
38986,opDDT,
38987,opDDT,
38988,opDDT,
38989,opDDT,
38990,opDDT,
38991,opDDT,
38992,opDDT,
38993,opDDT,
38994,opDDT,
38995,opDDT,
38996,opDDT,
38997,PCBs (as Arochlor 1254) Total,
38998,PCBs (as Arochlor 1254) Total,
38999,PCBs (as Arochlor 1254) Total,
39000,PCBs (as Arochlor 1254) Total,
39001,PCBs (as Arochlor 1254) Total,
39002,PCBs (as Arochlor 1254) Total,
39003,PCBs (as Arochlor 1254) Total,
39004,PCBs (as Arochlor 1254) Total,
39005,PCBs (as Arochlor 1254) Total,
39006,PCBs (as Arochlor 1254) Total,
39007,PCBs (as Arochlor 1254) Total,
39008,PCBs (as Arochlor 1254) Total,
39009,PCBs (as Arochlor 1254) Total,
39010,PCBs (as Arochlor 1254) Total,
39011,PCBs (as Arochlor 1254) Total,
39016,Chlordane (alpha+gamma),
39017,Chlordane (alpha+gamma),
39022,p-p'-DDD,
39023,p-p'-DDD,
39028,p-p'-DDE,
39029,p-p'-DDE,
39034,p-p'-DDT,
39035,p-p'-DDT,
39040,Dieldrin,
39041,Dieldrin,
39046,Heptachlor epoxide,
39047,Heptachlor epoxide,
39052,Mirex,
39053,Mirex,
39058,opDDT,
39059,opDDT,
39064,PCBs (as Arochlor 1254) Total,
39065,PCBs (as Arochlor 1254) Total,
39066,Chlordane (alpha+gamma),
39067,Chlordane (alpha+gamma),
39068,Chlordane (alpha+gamma),
39069,Chlordane (alpha+gamma),
39070,p-p'-DDD,
39071,p-p'-DDD,
39072,p-p'-DDD,
39073,p-p'-DDD,
39074,p-p'-DDE,
39075,p-p'-DDE,
39076,p-p'-DDE,
39077,p-p'-DDE,
39078,p-p'-DDT,
39079,p-p'-DDT,
39080,p-p'-DDT,
39081,p-p'-DDT,
39082,Dieldrin,
39083,Dieldrin,
39084,Dieldrin,
39085,Dieldrin,
39086,Heptachlor epoxide,
39087,Heptachlor epoxide,
39088,Heptachlor epoxide,
39089,Heptachlor epoxide,
39090,Mirex,
39091,Mirex,
39092,Mirex,
39093,Mirex,
39094,opDDT,
39095,opDDT,
39096,opDDT,
39097,opDDT,
39098,PCBs (as Arochlor 1254) Total,
39099,PCBs (as Arochlor 1254) Total,
39100,PCBs (as Arochlor 1254) Total,
39101,PCBs (as Arochlor 1254) Total,
39102,Chlordane (alpha+gamma),
39103,Chlordane (alpha+gamma),
39104,Chlordane (alpha+gamma),
39105,Chlordane (alpha+gamma),
39106,Chlordane (alpha+gamma),
39107,Chlordane (alpha+gamma),
39108,p-p'-DDD,
39109,p-p'-DDD,
39110,p-p'-DDD,
39111,p-p'-DDD,
39112,p-p'-DDD,
39113,p-p'-DDD,
39114,p-p'-DDE,
39115,p-p'-DDE,
39116,p-p'-DDE,
39117,p-p'-DDE,
39118,p-p'-DDE,
39119,p-p'-DDE,
39120,p-p'-DDT,
39121,p-p'-DDT,
39122,p-p'-DDT,
39123,p-p'-DDT,
39124,p-p'-DDT,
39125,p-p'-DDT,
39126,Dieldrin,
39127,Dieldrin,
39128,Dieldrin,
39129,Dieldrin,
39130,Dieldrin,
39131,Dieldrin,
39132,Mirex,
39133,Mirex,
39134,Mirex,
39135,Mirex,
39136,Mirex,
39137,Mirex,
39138,opDDT,
39139,opDDT,
39140,opDDT,
39141,opDDT,
39142,opDDT,
39143,opDDT,
39144,PCBs (as Arochlor 1254) Total,
39145,PCBs (as Arochlor 1254) Total,
39146,PCBs (as Arochlor 1254) Total,
39147,PCBs (as Arochlor 1254) Total,
39148,PCBs (as Arochlor 1254) Total,
39149,PCBs (as Arochlor 1254) Total,
39150,Chlordane (alpha+gamma),
39151,p-p'-DDD,
39152,p-p'-DDE,
39153,p-p'-DDT,
39154,Dieldrin,
39155,Mirex,
39156,opDDT,
39157,PCBs (as Arochlor 1254) Total,
39158,Chlordane (alpha+gamma),
39159,Chlordane (alpha+gamma),
39160,Chlordane (alpha+gamma),
39161,Chlordane (alpha+gamma),
39162,Chlordane (alpha+gamma),
39163,p-p'-DDD,
39164,p-p'-DDD,
39165,p-p'-DDD,
39166,p-p'-DDD,
39167,p-p'-DDD,
39168,p-p'-DDE,
