,mp_name,p_name
495,Chlordane (alpha+gamma),
496,Chlordane (alpha+gamma),
497,Chlordane (alpha+gamma),
498,Chlordane (alpha+gamma),
499,Chlordane (alpha+gamma),
500,Chlordane (alpha+gamma),
501,Chlordane (alpha+gamma),
502,Chlordane (alpha+gamma),
503,Chlordane (alpha+gamma),
504,Chlordane (alpha+gamma),
505,p-p'-DDD,
506,p-p'-DDD,
507,p-p'-DDD,
508,p-p'-DDD,
509,p-p'-DDD,
510,p-p'-DDD,
511,p-p'-DDD,
512,p-p'-DDD,
513,p-p'-DDD,
514,p-p'-DDD,
515,p-p'-DDE,
516,p-p'-DDE,
517,p-p'-DDE,
518,p-p'-DDE,
519,p-p'-DDE,
520,p-p'-DDE,
521,p-p'-DDE,
522,p-p'-DDE,
523,p-p'-DDE,
524,p-p'-DDE,
525,p-p'-DDT,
526,p-p'-DDT,
527,p-p'-DDT,
528,p-p'-DDT,
529,p-p'-DDT,
530,p-p'-DDT,
531,p-p'-DDT,
532,p-p'-DDT,
533,p-p'-DDT,
534,p-p'-DDT,
535,Dieldrin,
536,Dieldrin,
537,Dieldrin,
538,Dieldrin,
539,Dieldrin,
540,Dieldrin,
541,Dieldrin,
542,Dieldrin,
543,Dieldrin,
544,Dieldrin,
545,Hexabromobenzene (HBB),
546,Hexabromobenzene (HBB),
547,Hexabromobenzene (HBB),
548,Hexabromobenzene (HBB),
549,Hexabromobenzene (HBB),
550,Hexabromobenzene (HBB),
551,Hexabromobenzene (HBB),
552,Hexabromobenzene (HBB),
553,Hexabromobenzene (HBB),
554,Hexabromobenzene (HBB),
555,Mirex,
556,Mirex,
557,Mirex,
558,Mirex,
559,Mirex,
560,Mirex,
561,Mirex,
562,Mirex,
563,Mirex,
564,Mirex,
565,PCBs (as Arochlor 1254) Total,
566,PCBs (as Arochlor 1254) Total,
567,PCBs (as Arochlor 1254) Total,
568,PCBs (as Arochlor 1254) Total,
569,PCBs (as Arochlor 1254) Total,
570,PCBs (as Arochlor 1254) Total,
571,PCBs (as Arochlor 1254) Total,
572,PCBs (as Arochlor 1254) Total,
573,PCBs (as Arochlor 1254) Total,
574,PCBs (as Arochlor 1254) Total,
575,Chlordane (alpha+gamma),
576,Chlordane (alpha+gamma),
577,Chlordane (alpha+gamma),
578,Chlordane (alpha+gamma),
579,Chlordane (alpha+gamma),
580,Chlordane (alpha+gamma),
581,Chlordane (alpha+gamma),
582,Chlordane (alpha+gamma),
583,Chlordane (alpha+gamma),
584,Chlordane (alpha+gamma),
585,p-p'-DDD,
586,p-p'-DDD,
587,p-p'-DDD,
588,p-p'-DDD,
589,p-p'-DDD,
590,p-p'-DDD,
591,p-p'-DDD,
592,p-p'-DDD,
593,p-p'-DDD,
594,p-p'-DDD,
595,p-p'-DDE,
596,p-p'-DDE,
597,p-p'-DDE,
598,p-p'-DDE,
599,p-p'-DDE,
600,p-p'-DDE,
601,p-p'-DDE,
602,p-p'-DDE,
603,p-p'-DDE,
604,p-p'-DDE,
605,p-p'-DDT,
606,p-p'-DDT,
607,p-p'-DDT,
608,p-p'-DDT,
609,p-p'-DDT,
610,p-p'-DDT,
611,p-p'-DDT,
612,p-p'-DDT,
613,p-p'-DDT,
614,p-p'-DDT,
615,Dieldrin,
616,Dieldrin,
617,Dieldrin,
618,Dieldrin,
619,Dieldrin,
620,Dieldrin,
621,Dieldrin,
622,Dieldrin,
623,Dieldrin,
624,Dieldrin,
625,Hexabromobenzene (HBB),
626,Hexabromobenzene (HBB),
627,Hexabromobenzene (HBB),
628,Hexabromobenzene (HBB),
629,Hexabromobenzene (HBB),
630,Hexabromobenzene (HBB),
631,Hexabromobenzene (HBB),
632,Hexabromobenzene (HBB),
633,Hexabromobenzene (HBB),
634,Hexabromobenzene (HBB),
635,Mirex,
636,Mirex,
637,Mirex,
638,Mirex,
639,Mirex,
640,Mirex,
641,Mirex,
642,Mirex,
643,Mirex,
644,Mirex,
645,PCBs (as Arochlor 1254) Total,
646,PCBs (as Arochlor 1254) Total,
647,PCBs (as Arochlor 1254) Total,
648,PCBs (as Arochlor 1254) Total,
649,PCBs (as Arochlor 1254) Total,
650,PCBs (as Arochlor 1254) Total,
651,PCBs (as Arochlor 1254) Total,
652,PCBs (as Arochlor 1254) Total,
653,PCBs (as Arochlor 1254) Total,
654,PCBs (as Arochlor 1254) Total,
655,Chlordane (alpha+gamma),
656,Chlordane (alpha+gamma),
657,Chlordane (alpha+gamma),
658,Chlordane (alpha+gamma),
659,Chlordane (alpha+gamma),
660,Chlordane (alpha+gamma),
661,Chlordane (alpha+gamma),
662,Chlordane (alpha+gamma),
663,Chlordane (alpha+gamma),
664,p-p'-DDD,
665,p-p'-DDD,
666,p-p'-DDD,
667,p-p'-DDD,
668,p-p'-DDD,
669,p-p'-DDD,
670,p-p'-DDD,
671,p-p'-DDD,
672,p-p'-DDD,
673,p-p'-DDE,
674,p-p'-DDE,
675,p-p'-DDE,
676,p-p'-DDE,
677,p-p'-DDE,
678,p-p'-DDE,
679,p-p'-DDE,
680,p-p'-DDE,
681,p-p'-DDE,
682,p-p'-DDT,
683,p-p'-DDT,
684,p-p'-DDT,
685,p-p'-DDT,
686,p-p'-DDT,
687,p-p'-DDT,
688,p-p'-DDT,
689,p-p'-DDT,
690,p-p'-DDT,
691,Dieldrin,
692,Dieldrin,
693,Dieldrin,
694,Dieldrin,
695,Dieldrin,
696,Dieldrin,
697,Dieldrin,
698,Dieldrin,
699,Dieldrin,
700,Heptachlor epoxide,
701,Heptachlor epoxide,
702,Heptachlor epoxide,
703,Heptachlor epoxide,
704,Heptachlor epoxide,
705,Heptachlor epoxide,
706,Heptachlor epoxide,
707,Heptachlor epoxide,
708,Heptachlor epoxide,
709,Mirex,
710,Mirex,
711,Mirex,
712,Mirex,
713,Mirex,
714,Mirex,
715,Mirex,
716,Mirex,
717,Mirex,
718,opDDT,
719,opDDT,
720,opDDT,
721,opDDT,
722,opDDT,
