CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
59988,Lake Trout,Salvelinus,namaycush,52,1450.6,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",24.5,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59989,Lake Trout,Salvelinus,namaycush,46,1166,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",102,,1,2018-02-08,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59989,Lake Trout,Salvelinus,namaycush,46,1166,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5,BDL,1,2018-02-08,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59994,Lake Trout,Salvelinus,namaycush,46,1163,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",94.7,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59994,Lake Trout,Salvelinus,namaycush,46,1163,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",29.3,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59995,Lake Trout,Salvelinus,namaycush,45.5,963,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",90.6,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59995,Lake Trout,Salvelinus,namaycush,45.5,963,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",95.6,,2,2025-09-17,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59995,Lake Trout,Salvelinus,namaycush,45.5,963,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",38.3,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59995,Lake Trout,Salvelinus,namaycush,45.5,963,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",50,BDL,2,2025-09-17,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59997,Lake Trout,Salvelinus,namaycush,56.7,2106.9,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",111,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59997,Lake Trout,Salvelinus,namaycush,56.7,2106.9,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",113,,2,2025-09-17,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59997,Lake Trout,Salvelinus,namaycush,56.7,2106.9,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",40,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59997,Lake Trout,Salvelinus,namaycush,56.7,2106.9,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",50,BDL,2,2025-09-17,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60006,Lake Trout,Salvelinus,namaycush,57,2498.4,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",96.4,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60006,Lake Trout,Salvelinus,namaycush,57,2498.4,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",15.6,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60008,Lake Trout,Salvelinus,namaycush,57,1579.3,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",110,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60008,Lake Trout,Salvelinus,namaycush,57,1579.3,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",98.6,,2,2025-09-17,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60008,Lake Trout,Salvelinus,namaycush,57,1579.3,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",56.8,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60008,Lake Trout,Salvelinus,namaycush,57,1579.3,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",50,BDL,2,2025-09-17,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60009,Lake Trout,Salvelinus,namaycush,52.8,1812,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",111,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60009,Lake Trout,Salvelinus,namaycush,52.8,1812,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",28.6,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60010,Lake Trout,Salvelinus,namaycush,43,952.5,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",94.3,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60010,Lake Trout,Salvelinus,namaycush,43,952.5,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",18.8,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60011,Lake Trout,Salvelinus,namaycush,58,2336,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",126,,1,2018-05-11,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60011,Lake Trout,Salvelinus,namaycush,58,2336,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5.97,,1,2018-05-11,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60012,Lake Trout,Salvelinus,namaycush,58.8,2576.3,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",140,,1,2018-05-11,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60012,Lake Trout,Salvelinus,namaycush,58.8,2576.3,F,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",6.69,,1,2018-05-11,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60013,Lake Trout,Salvelinus,namaycush,51,1505,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",145,,1,2018-05-11,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
60013,Lake Trout,Salvelinus,namaycush,51,1505,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",15,,1,2018-05-11,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
60014,Lake Trout,Salvelinus,namaycush,36,645,M,ADS,1,2013-07-11,2013,Lake Superior,Whitefish Bay L Superior,46.58333,-84.75,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",101,,1,2018-02-09,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
