CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Fork length (cm),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Station_Name,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hepta-Dioxins,0.0963,L,1,2008-03-25,Dioxin,Hepta-Dioxins Total,Total Hepta-Dioxins,PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hepta-Furans,1.26,,1,2008-03-25,Dioxin,Hepta-Furans Total,Total Hepta-Furans,PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hexa-Dioxins,3.99,,1,2008-03-25,Dioxin,Hexa-Dioxins Total,Total Hexa-Dioxins,PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hexa-Furans,16.7,,1,2008-03-25,Dioxin,Hexa-Furans Total,Total Hexa-Furans,PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Penta-Dioxins,3.4,,1,2008-03-25,Dioxin,Penta-Dioxins Total,Total Penta-Dioxins,PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Penta-Furans,21.4,,1,2008-03-25,Dioxin,Penta-Furans Total,Total Penta-Furans,PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Tetra-Dioxins,13.1,,1,2008-03-25,Dioxin,Tetra-Dioxins Total,Total Tetra-Dioxins,PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Tetra-Furans,41.4,,1,2008-03-25,Dioxin,Tetra-Furans Total,Total Tetra-Furans,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,6,7,8-HpCDD",0.479,,1,2008-03-21,Dioxin,"1,2,3,4,6,7,8-heptachlorodioxin","1,2,3,4,6,7,8-heptachlorodioxin",PG/G,,0.112,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,6,7,8-HpCDF",0.123,T,1,2008-03-21,Dioxin,"1,2,3,4,6,7,8-heptachlorofuran","1,2,3,4,6,7,8-heptachlorofuran",PG/G,,0.128,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,7,8,9-HpCDF",0.0962,L,1,2008-03-21,Dioxin,"1,2,3,4,7,8,9-heptachlorofuran","1,2,3,4,7,8,9-heptachlorofuran",PG/G,,0.107,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,7,8-HxCDD",0.162,T,1,2008-03-21,Dioxin,"1,2,3,4,7,8-hexachlorodioxin","1,2,3,4,7,8-hexachlorodioxin",PG/G,,0.2,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,7,8-HxCDF",0.961,,1,2008-03-21,Dioxin,"1,2,3,4,7,8-hexachlorofuran","1,2,3,4,7,8-hexachlorofuran",PG/G,,0.075,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,6,7,8-HxCDD",0.602,T,1,2008-03-21,Dioxin,"1,2,3,6,7,8-hexachlorodioxin","1,2,3,6,7,8-hexachlorodioxin",PG/G,,0.124,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,6,7,8-HxCDF",0.321,T,1,2008-03-21,Dioxin,"1,2,3,6,7,8-hexachlorofuran","1,2,3,6,7,8-hexachlorofuran",PG/G,,0.086,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8,9-HxCDD",0.184,T,1,2008-03-21,Dioxin,"1,2,3,7,8,9-hexachlorodioxin","1,2,3,7,8,9-hexachlorodioxin",PG/G,,0.089,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8,9-HxCDF",0.127,T,1,2008-03-21,Dioxin,"1,2,3,7,8,9-hexachlorofuran","1,2,3,7,8,9-hexachlorofuran",PG/G,,0.093,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8-PeCDD",1.29,,1,2008-03-21,Dioxin,"1,2,3,7,8-pentachlorodioxin","1,2,3,7,8-pentachlorodioxin",PG/G,,0.13,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8-PeCDF",1.25,,1,2008-03-21,Dioxin,"1,2,3,7,8-pentachlorofuran","1,2,3,7,8-pentachlorofuran",PG/G,,0.096,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,4,6,7,8-HxCDF",0.242,T,1,2008-03-21,Dioxin,"2,3,4,6,7,8-hexachlorofuran","2,3,4,6,7,8-hexachlorofuran",PG/G,,0.077,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,4,7,8-PeCDF",2.67,,1,2008-03-21,Dioxin,"2,3,4,7,8-pentachlorofuran","2,3,4,7,8-pentachlorofuran",PG/G,,0.102,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,7,8-TCDD",4.98,,1,2008-03-21,Dioxin,"2,3,7,8-tetrachlorodioxin","2,3,7,8-tetrachlorodioxin",PG/G,,0.043,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,7,8-TCDF",16.4,,1,2008-03-21,Dioxin,"2,3,7,8-tetrachlorofuran","2,3,7,8-tetrachlorofuran",PG/G,,0.027,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,7,8-TCDF (225)",15.9,,1,2008-03-21,Dioxin,"2,3,7,8-TCDF (225)","2,3,7,8-TCDF (225)",PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,OCDD,0.594,,1,2008-03-21,Dioxin,Octachlorodioxin,Octachlorodioxin,PG/G,,0.337,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,OCDF,0.117,T,1,2008-03-21,Dioxin,Octachlorofuran,Octachlorofuran,PG/G,,0.099,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TEQ (WHO 1998 FISH) ND=0,8.56,,1,2008-03-21,Dioxin,TEQ (WHO 1998 FISH) ND=0,TEQ (WHO 1998 FISH) ND=0,PG/G-TEQ,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TEQ (WHO 1998 FISH) ND=1/2DL,8.61,,1,2008-03-21,Dioxin,TEQ (WHO 1998 FISH) ND=1/2DL,TEQ (WHO 1998 FISH) ND=1/2DL,PG/G-TEQ,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hepta-Dioxins,0.479,,1,2008-03-21,Dioxin,Hepta-Dioxins Total,Total Hepta-Dioxins,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hepta-Furans,0.0962,L,1,2008-03-21,Dioxin,Hepta-Furans Total,Total Hepta-Furans,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hexa-Dioxins,0.124,L,1,2008-03-21,Dioxin,Hexa-Dioxins Total,Total Hexa-Dioxins,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Hexa-Furans,0.961,,1,2008-03-21,Dioxin,Hexa-Furans Total,Total Hexa-Furans,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Penta-Dioxins,1.29,,1,2008-03-21,Dioxin,Penta-Dioxins Total,Total Penta-Dioxins,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Penta-Furans,5.61,,1,2008-03-21,Dioxin,Penta-Furans Total,Total Penta-Furans,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Tetra-Dioxins,4.97,,1,2008-03-21,Dioxin,Tetra-Dioxins Total,Total Tetra-Dioxins,PG/G,,,AXYS,0
51621,Lake Trout,Salvelinus,namaycush,55,2150.1,,F,ADS,1,2006-09-13,2006,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,Total Tetra-Furans,17.5,,1,2008-03-21,Dioxin,Tetra-Furans Total,Total Tetra-Furans,PG/G,,,AXYS,0
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,1234678-H7CDD-ULTRA,2.5,,1,,Dioxin,"1,2,3,4,6,7,8-heptachlorodioxin","1,2,3,4,6,7,8-heptachlorodioxin",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,1234678-H7CDF-ULTRA,3.2,,1,,Dioxin,"1,2,3,4,6,7,8-heptachlorofuran","1,2,3,4,6,7,8-heptachlorofuran",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,123478-H6CDD-ULTRA,0.2,,1,,Dioxin,"1,2,3,4,7,8-hexachlorodioxin","1,2,3,4,7,8-hexachlorodioxin",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,123478-H6CDF-ULTRA,67.7,,1,,Dioxin,"1,2,3,4,7,8-hexachlorofuran","1,2,3,4,7,8-hexachlorofuran",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,123678-H6CDD-ULTRA,12.8,,1,,Dioxin,"1,2,3,6,7,8-hexachlorodioxin","1,2,3,6,7,8-hexachlorodioxin",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,123678-H6CDF-ULTRA,0.1,,1,,Dioxin,"1,2,3,6,7,8-hexachlorofuran","1,2,3,6,7,8-hexachlorofuran",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,123789-H6CDD-ULTRA,1.3,,1,,Dioxin,"1,2,3,7,8,9-hexachlorodioxin","1,2,3,7,8,9-hexachlorodioxin",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,123789-H6CDF-ULTRA,0.1,,1,,Dioxin,"1,2,3,4,7,8,9-heptachlorofuran","1,2,3,4,7,8,9-heptachlorofuran",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,12378-PCDD-ULTRA,18.7,,1,,Dioxin,"1,2,3,7,8-pentachlorodioxin","1,2,3,7,8-pentachlorodioxin",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,12378-PCDF-ULTRA,25.5,,1,,Dioxin,"1,2,3,7,8-pentachlorofuran","1,2,3,7,8-pentachlorofuran",PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,13C-HpCDD-Rec-ULTRA,72,,1,,Dioxin,13C-HpCDD-Recovery,13C-HpCDD-Recovery,PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,13C-HxCDD-Rec-ULTRA,75,,1,,Dioxin,13C-HxCDD-Recovery,13C-HxCDD-Recovery,PG/G,,,ULTRA,
343,Lake Trout,Salvelinus,namaycush,58,2467,,M,ADS,1,1977-07-25,1977,Lake Ontario,Eastern Basin (LONT),Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,13C-O8CDD-Rec-ULTRA,60,,1,,Dioxin,13C-O8CDD-Recovery,13C-O8CDD-Recovery,PG/G,,,ULTRA,
